date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:02	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Jul%202019%2013:10:00%20GMT	http://eliteadmin.themedesigner.in/robots.txt		(from )
14:10:05	103092/103092	---M--	200	added ('OK')	text/html	etag:%22192b4-583162e884542%22	http://eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/	C:/Users/No%20one/Documents/MEGA/MEGAsync/My%20Stolen%20Sites/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/index.html	(from )
14:10:05	1347/1347	---M--	200	added ('OK')	image/png	etag:%22543-583162e7b0a90%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/favicon.png	C:/Users/No%20one/Documents/MEGA/MEGAsync/My%20Stolen%20Sites/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/images/favicon.png	(from http://eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/)
14:10:05	540/540	---M-Z	200	added ('OK')	text/css	etag:%2221c-583162e7f63d6-gzip%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/morrisjs/morris.css	C:/Users/No%20one/Documents/MEGA/MEGAsync/My%20Stolen%20Sites/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/morrisjs/morris.css	(from http://eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/)
14:10:06	4910/4910	---M-Z	200	added ('OK')	text/css	etag:%22132e-583162e80427e-gzip%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/toast-master/css/jquery.toast.css	C:/Users/No%20one/Documents/MEGA/MEGAsync/My%20Stolen%20Sites/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/toast-master/css/jquery.toast.css	(from http://eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/)
14:10:08	422/422	---M-Z	200	added ('OK')	text/css	etag:%221a6-583162e87e39b-gzip%22	http://eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/dist/css/pages/dashboard1.css	C:/Users/No%20one/Documents/MEGA/MEGAsync/My%20Stolen%20Sites/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/dist/css/pages/dashboard1.css	(from http://eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/)
14:10:08	457830/457830	---MCZ	200	added ('OK')	text/css	etag:%226fc66-58be6eb015c8b-gzip%22	http://eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/dist/css/style.min.css	C:/Users/No%20one/Documents/MEGA/MEGAsync/My%20Stolen%20Sites/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/dist/css/style.min.css	(from http://eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/)
14:10:11	103092/103092	---M--	200	added ('OK')	text/html	etag:%22192b4-583162e884542%22	http://eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/index.html	C:/Users/No%20one/Documents/MEGA/MEGAsync/My%20Stolen%20Sites/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/index-2.html	(from http://eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/)
14:10:11	1980/1980	---M--	200	added ('OK')	image/png	etag:%227bc-583162e7b1e18%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-icon.png	C:/Users/No%20one/Documents/MEGA/MEGAsync/My%20Stolen%20Sites/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-icon.png	(from http://eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/)
14:10:11	1785/1785	---M--	200	added ('OK')	image/png	etag:%226f9-583162e7b1e18%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-icon.png	C:/Users/No%20one/Documents/MEGA/MEGAsync/My%20Stolen%20Sites/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-icon.png	(from http://eliteadmin.themedesigner.in/demos/bt4/horizontal-nav-fullwidth/)
